posicao (populacao),municipio,populacao,posicao (pib),"PIB(R$1000,00)"
125,Divinópolis,242505,163,6036935
126,Marília,242249,139,7719607
127,Araraquara,240542,111,9009108
128,São Leopoldo,240378,136,7829272
129,Rondonópolis,239613,103,9598522
130,Hortolândia,237570,76,12928628
131,Jacareí,237119,83,11696354
132,Arapiraca,234309,229,4100975
133,Cabo Frio,234077,121,8593977
134,Presidente Prudente,231953,137,7806813
135,Maracanaú,230986,126,8537588
136,Dourados,227990,128,8327408
137,Chapecó,227587,114,8890178
138,Itajaí,226617,37,21913882
139,Águas Lindas de Goiás,222850,475,1783502
140,Santa Luzia,221705,250,3785138
140,Santa Luzia,221705,1230,547867
140,Santa Luzia,221705,2567,198354
140,Santa Luzia,221705,3998,87787
455,Santa Luzia,73105,250,3785138
455,Santa Luzia,73105,1230,547867
455,Santa Luzia,73105,2567,198354
455,Santa Luzia,73105,3998,87787
2266,Santa Luzia,15470,250,3785138
2266,Santa Luzia,15470,1230,547867
2266,Santa Luzia,15470,2567,198354
2266,Santa Luzia,15470,3998,87787
2693,Santa Luzia,12308,250,3785138
2693,Santa Luzia,12308,1230,547867
2693,Santa Luzia,12308,2567,198354
2693,Santa Luzia,12308,3998,87787
141,Juazeiro,219544,255,3700882
142,Criciúma,219393,145,7146731
143,Parauapebas,218787,49,18431904
144,Luziânia,214645,270,3391349
145,Itabuna,214123,237,3984074
146,Rio Grande,212881,107,9215701
147,Sobral,212437,215,4455731
148,Alvorada,212352,354,2607247
148,Alvorada,212352,1801,325873
3382,Alvorada,8381,354,2607247
3382,Alvorada,8381,1801,325873
149,Cachoeiro de Itapemirim,212172,205,4766819
150,Cabo de Santo Agostinho,210796,100,9964401
151,Angra dos Reis,210171,98,10099365
152,Rio Claro,209548,105,9418391
152,Rio Claro,209548,1714,346903
1925,Rio Claro,18677,105,9418391
1925,Rio Claro,18677,1714,346903
153,Passo Fundo,206103,123,8584861
154,Castanhal,205667,251,3757159
155,Lauro de Freitas,204669,157,6286763
156,Araçatuba,199210,148,6970533
157,Ferraz de Vasconcelos,198661,308,2989860
158,Santa Bárbara d'Oeste,195278,180,5494890
159,Nova Friburgo,191664,198,5014316
160,Nossa Senhora do Socorro,187733,358,2597290
161,Araguaína,186245,235,4013612
162,Teresópolis,185820,195,5085014
163,Barra Mansa,185237,200,4883051
164,Jaraguá do Sul,184579,127,8528976
165,Ibirité,184030,405,2170053
166,Guarapuava,183755,174,5606255
167,São José de Ribamar,180345,434,1996204
168,Linhares,179755,182,5480107
169,Itapecerica da Serra,179574,279,3281942
170,Francisco Morato,179372,573,1464628
171,Palhoça,178679,202,4832015
172,Itu,177150,140,7572821
173,Mesquita,177016,388,2313173
173,Mesquita,177016,5039,45480
4160,Mesquita,5489,388,2313173
4160,Mesquita,5489,5039,45480
174,Valparaíso de Goiás,175720,371,2492501
175,Bragança Paulista,172346,171,5672443
176,Pindamonhangaba,171885,146,7003490
177,Timon,171317,470,1802654
178,Poços de Caldas,169838,156,6365940
179,Maricá,167668,86,11438880
180,Itapetininga,167106,213,4458857
181,Caxias,166159,492,1714089
182,Teixeira de Freitas,164290,389,2311886
183,Nilópolis,162893,347,2643916
184,São Caetano do Sul,162763,75,13106959
185,Abaetetuba,160439,615,1337194
186,Camaragibe,159945,481,1757192
187,Rio das Ostras,159529,175,5597722
188,Franco da Rocha,158438,299,3029794
189,Barreiras,158432,241,3889952
190,Ilhéus,157639,245,3842397
191,Paranaguá,157378,101,9856374
192,Lages,157158,196,5074152
193,Jequié,156277,364,2557370
194,Patos de Minas,154641,218,4378966
195,Pouso Alegre,154293,143,7388029
196,Mogi Guaçu,154146,178,5557420
197,Parnaíba,153863,425,2037540
198,Jaú,153463,209,4560371
199,Alagoinhas,153023,265,3509540
200,Porto Seguro,152529,326,2820578
201,Queimados,152311,254,3703990
202,Botucatu,149718,222,4290669
203,Balneário Camboriú,149227,193,5148510
204,Sinop,148960,173,5626287
205,Araucária,148522,51,16972345
