posicao (populacao),municipio,populacao,posicao (pib),"PIB(R$1000,00)"
1088,Rio Branco do Sul,32635,722,1062844
1089,Cururupu,32559,2421,216484
1090,Nova Russas,32487,2051,272446
1091,São José da Tapera,32462,2288,233812
1092,Brasília de Minas,32460,1918,302161
1093,Palotina,32389,426,2036253
1094,Medicilândia,32347,1184,580775
1095,Santo Antônio do Tauá,32346,1723,343979
1096,Placas,32325,2159,255858
1097,Itatiaia,32312,219,4361237
1098,São Domingos do Capim,32285,1887,309219
1099,Paratinga,32274,2467,211151
1100,Macau,32260,1169,593170
1101,Pompéu,32248,982,737149
1102,Correntina,32243,638,1264890
1103,Aurora do Pará,32200,2028,277393
1104,Nova Mamoré,32184,1386,473026
1105,Laranjeiras do Sul,32167,984,730423
1106,Tabuleiro do Norte,32079,1782,330450
1107,Confresa,32076,990,724695
1108,Camacan,32023,2098,264660
1109,Ponta de Pedras,32007,2455,212566
1110,Bagre,31967,2789,176241
1111,Alto Alegre do Pindaré,31967,2727,182418
1112,Mocajuba,31917,1895,306527
1113,Pires do Rio,31909,842,893828
1114,Ivaiporã,31886,965,755258
1115,Santa Bárbara,31873,956,765975
1115,Santa Bárbara,31873,2885,166403
1711,Santa Bárbara,20971,956,765975
1711,Santa Bárbara,20971,2885,166403
1116,Ibaiti,31854,1088,649028
1117,Juquitiba,31844,1357,485671
1118,Exu,31709,2266,238223
1119,Frederico Westphalen,31675,730,1050979
1120,Mateus Leme,31631,1026,692349
1121,Espinosa,31603,2037,274227
1122,Jaguaré,31589,1407,463419
1123,Raposa,31586,2439,213934
1124,Gameleira,31578,2511,205422
1125,Tracuateua,31549,2202,248328
1126,Vitorino Freire,31520,2348,225399
1127,Ipubi,31515,2073,269159
1128,Minas Novas,31509,2182,251113
1129,Conceição da Barra,31479,1497,424482
1130,Lavras da Mangabeira,31476,2197,249137
1131,Candelária,31475,947,773002
1132,Iporá,31471,1075,656957
1133,Careiro da Várzea,31459,1865,313218
1134,Barra dos Coqueiros,31439,1598,385554
1135,Cândido Mota,31410,756,1005667
1136,Parambu,31391,2518,204750
1137,Rorainópolis,31387,1260,531363
1138,Guaçuí,31372,1273,526921
1139,Serra do Ramalho,31362,1931,299824
1140,Flores da Cunha,31352,565,1481282
1141,Novo Cruzeiro,31339,2290,233655
1142,Sooretama,31278,1218,557245
1143,Baixo Guandu,31263,1126,619799
1144,Jarinu,31173,395,2251523
1145,Ipixuna,31172,3194,139858
1146,Rio Pardo de Minas,31171,2130,259981
1147,Iguape,31117,917,809924
1149,Sombrio,31084,970,751251
1150,Soledade,31067,861,868945
1150,Soledade,31067,2846,170472
2306,Soledade,15211,861,868945
2306,Soledade,15211,2846,170472
1151,Bandeirantes,31061,986,727355
1151,Bandeirantes,31061,1794,327117
3652,Bandeirantes,7281,986,727355
3652,Bandeirantes,7281,1794,327117
1152,Capim Grosso,31055,1570,395930
1153,Caarapó,31005,670,1183428
1154,Bela Vista de Goiás,31004,788,954542
1155,Nerópolis,30931,983,735048
1156,Itabela,30901,1752,337178
1157,Ruy Barbosa,30900,1912,303300
1157,Ruy Barbosa,30900,5450,29806
4873,Ruy Barbosa,3584,1912,303300
4873,Ruy Barbosa,3584,5450,29806
1158,Canindé de São Francisco,30894,514,1632436
1159,Glória do Goitá,30847,1369,479098
1160,Barra do Choça,30831,1673,360734
1161,Arraial do Cabo,30827,992,724152
1162,Catolé do Rocha,30819,1616,380016
1163,Pau dos Ferros,30802,1341,493167
1164,Igarapava,30791,717,1076232
1165,Canavieiras,30722,1871,311792
1166,Joaçaba,30684,538,1576907
1167,Casa Branca,30655,926,801722
1168,Carlos Barbosa,30630,401,2204423
1169,Luís Correia,30558,1987,286899
1170,Barra Velha,30539,504,1664142
1171,Nova Santa Rita,30482,687,1130729
1171,Nova Santa Rita,30482,5378,32992
4568,Nova Santa Rita,4392,687,1130729
4568,Nova Santa Rita,4392,5378,32992
1172,Guararema,30465,784,960960
1173,Mãe do Rio,30389,1966,292956
1174,Carmo do Paranaíba,30339,981,737380
1175,Laranjeiras,30327,811,926217
1176,Afonso Cláudio,30326,1458,439240
1177,Anchieta,30285,922,804889
1177,Anchieta,30285,3340,129259
4166,Anchieta,5477,922,804889
4166,Anchieta,5477,3340,129259
1178,Triunfo,30159,116,8803874
1178,Triunfo,30159,3203,138875
1178,Triunfo,30159,4280,74711
2302,Triunfo,15232,116,8803874
2302,Triunfo,15232,3203,138875
2302,Triunfo,15232,4280,74711
3190,Triunfo,9473,116,8803874
3190,Triunfo,9473,3203,138875
3190,Triunfo,9473,4280,74711
1179,Campo Magro,30151,1519,416625
1180,Anajás,30091,2519,204720
1181,Cambuí,30068,610,1348085
1182,Arari,30014,2310,230360
1183,Piraju,29930,1021,700235
1184,Palmeiras de Goiás,29915,779,965226
1185,Alegre,29869,1349,489949
1186,Mirandópolis,29844,1134,616045
1187,Prainha,29827,1915,302523
1188,Piraí,29802,457,1857213
1189,Propriá,29756,1360,484995
1190,Rancharia,29743,618,1323712
1191,Bujaru,29717,1327,498805
1192,Codajás,29691,1402,464071
1193,Pitanga,29686,911,815373
1194,Serra Negra,29669,1001,720861
1195,Limoeiro do Ajuru,29623,1430,453590
1196,Pilar do Sul,29612,1100,640684
1197,Ibimirim,29585,2157,255908
1198,Maracanã,29559,2396,219104
1199,Itaperuçu,29493,1486,427996
1200,Taquaritinga do Norte,29472,2096,264932
1201,Muritiba,29420,2141,258686
1202,Iúna,29417,1537,411571
1203,Iguaba Grande,29344,1412,462197
1204,Anapu,29312,1701,351203
1205,Irará,29305,2235,242527
1206,Santa Vitória do Palmar,29298,785,960548
1207,Extremoz,29282,1594,387210
1208,Xaxim,29254,808,929324
1209,Timbiras,29241,3057,150806
1211,Humberto de Campos,29143,3127,145206
1212,Paripiranga,29124,1781,330467
1213,Miranda do Norte,29121,1353,488068
1214,Carinhanha,29118,2486,208835
1215,Baraúna,29112,1308,506900
1215,Baraúna,29112,5179,40502
4306,Baraúna,5033,1308,506900
4306,Baraúna,5033,5179,40502
1216,Valente,29111,2361,223615
1217,Cláudio,29093,1076,656478
1218,Caetés,29065,1515,417413
1219,Itacaré,29051,2097,264895
1220,Laranjal Paulista,29047,755,1007472
1221,Piracuruca,28952,2127,260345
1222,Três Coroas,28948,823,911456
1223,Buriti,28916,2663,187980
1224,Campos Gerais,28908,1375,477705
1225,Limoeiro de Anadia,28904,1419,458376
1226,Ituberá,28870,1970,292059
1227,Tabira,28860,2198,249042
1228,Passira,28856,2388,220034
1229,Campo Alegre de Lourdes,28839,2529,202749
1230,São Bernardo,28825,2199,248693
1231,Porto da Folha,28788,2083,267795
1232,Conceição das Alagoas,28782,881,844041
1233,Novo Oriente,28737,2458,212339
1234,Goioerê,28734,910,815502
1235,Carauari,28719,1991,285495
1236,Nazaré,28661,2133,259637
1236,Nazaré,28661,5060,44499
4794,Nazaré,3772,2133,259637
4794,Nazaré,3772,5060,44499
1237,Santa Rita de Cássia,28613,2419,216621
1238,Pedras de Fogo,28607,1494,425345
1239,Santo Antônio do Monte,28603,1265,528306
1240,Marapanim,28563,2378,221398
1241,Elói Mendes,28556,1168,593370
1242,Oiapoque,28534,1578,394500
1243,Pontal do Paraná,28529,1192,577860
1244,Minaçu,28518,822,912106
1245,Conchal,28491,1077,656033
1246,Arapoti,28480,709,1090916
1247,Cajati,28441,541,1565335
1248,Pitangui,28433,1304,507761
1249,Murici,28428,1974,290397
1250,Miranda,28423,1317,500830
1251,Alagoa Grande,28384,2088,266609
1252,Olindina,28373,2589,195856
1253,Alexânia,28360,937,781339
1254,Presidente Tancredo Neves,28272,2274,236106
1255,Nísia Floresta,28266,1687,356970
1256,Prado,28214,1466,435603
1257,Buritizeiro,28184,1506,420003
1258,Prata,28173,809,928752
1258,Prata,28173,4906,49192
4610,Prata,4265,809,928752
4610,Prata,4265,4906,49192
1259,Areia Branca,28156,1210,561689
1259,Areia Branca,28156,2591,195684
1909,Areia Branca,18825,1210,561689
1909,Areia Branca,18825,2591,195684
1260,Mirassol d'Oeste,28135,1059,667422
1261,Melgaço,28121,2850,169796
1262,Candeias do Jamari,28068,1242,538155
1263,Alto Alegre do Maranhão,28066,2385,220570
1264,Nova Esperança,28062,958,764877
1265,Santa Cruz Cabrália,28058,1577,394545
1266,Nova Prata,28021,659,1199908
1267,Pirapozinho,27974,783,962053
1268,Coromandel,27958,847,885184
1269,Paty do Alferes,27942,1255,533564
1270,Traipu,27934,2504,206112
1271,Cocal,27901,2465,211411
1272,São José do Norte,27866,1751,337815
1273,Santa Gertrudes,27850,540,1571921
1274,Juatuba,27823,658,1201845
1275,Marco,27822,1869,312042
1276,Água Azul do Norte,27797,1452,442902
1277,Tupanatinga,27793,2708,184087
1279,Barcelos,27772,2945,160472
1280,Lagoa Vermelha,27751,780,964817
1281,Mandirituba,27750,1176,587553
1282,Lagoa Seca,27728,2137,259406
1283,Dois Córregos,27704,1079,653858
1284,São Miguel do Iguaçu,27696,796,942749
1285,Jaciara,27696,802,937221
1286,Quijingue,27672,2682,186025
1287,São Gabriel do Oeste,27660,591,1412562
1288,Mantena,27651,1622,376826
1289,Santa Rita do Passa Quatro,27641,1098,641179
1290,Itaí,27632,1175,587796
1291,Forquilhinha,27621,914,813292
1292,Piracaia,27617,1378,476025
1293,Pinheiros,27601,1409,463112
1294,Campos Sales,27513,2342,225815
1295,Sapezal,27485,367,2516824
1296,Ubatã,27481,2740,181354
1297,Boca da Mata,27429,2076,268776
1298,Icatu,27423,3277,134116
1299,Milagres,27413,2368,222841
1299,Milagres,27413,3960,89575
2969,Milagres,10838,2368,222841
2969,Milagres,10838,3960,89575
1300,Ipameri,27365,605,1357281
1301,Porto Calvo,27331,1726,343384
1303,Lapão,27323,2629,191709
1304,São Joaquim,27322,873,858521
1305,Sanharó,27308,2607,193931
1306,São Sebastião da Boa Vista,27302,2499,206889
1307,Belo Oriente,27277,421,2065747
1308,Pombos,27204,1664,363992
1309,Jardim,27187,1266,528276
1309,Jardim,27187,2602,194296
1362,Jardim,26375,1266,528276
1362,Jardim,26375,2602,194296
1310,Anajatuba,27170,2781,177430
1311,Valparaíso,27154,763,989934
1312,Mundo Novo,27153,1408,463335
1312,Mundo Novo,27153,2976,157747
1312,Mundo Novo,27153,3680,105064
1935,Mundo Novo,18578,1408,463335
1935,Mundo Novo,18578,2976,157747
1935,Mundo Novo,18578,3680,105064
4503,Mundo Novo,4540,1408,463335
4503,Mundo Novo,4540,2976,157747
4503,Mundo Novo,4540,3680,105064
1313,Itapissuma,27144,593,1398050
1314,Miracema,27134,1348,489962
1315,Cujubim,27131,1810,324023
1316,Brasiléia,27123,1591,387911
1317,Ilha de Itamaracá,27076,2260,239399
1318,Ibotirama,27076,1730,342507
1319,Nova Soure,27047,2524,203682
1321,Caririaçu,27008,2559,199727
1322,Iguaí,27006,2706,184161
1323,Goianinha,27004,1680,358811
1324,Boquim,26980,1932,299560
1325,Aldeias Altas,26979,2807,174528
1326,Santa Rosa de Viterbo,26960,954,768791
1327,Nossa Senhora das Dores,26957,1984,287954
1328,Batalha,26951,2780,177468
1328,Batalha,26951,2810,174456
1945,Batalha,18440,2780,177468
1945,Batalha,18440,2810,174456
1329,Vila Rica,26946,1504,420551
1330,Mutum,26945,1633,374253
1331,Reserva,26933,1225,551872
1332,Taquari,26907,1043,679787
1333,Ilha Solteira,26886,1114,627436
1334,Nepomuceno,26882,1448,444409
1335,Veranópolis,26813,592,1405090
1337,Martinópolis,26791,1410,462852
1338,Corrente,26771,1612,381037
1339,Ibatiba,26762,1825,320834
1340,Condado,26755,2436,214324
1340,Condado,26755,4689,57479
3813,Condado,6662,2436,214324
3813,Condado,6662,4689,57479
1341,Água Boa,26679,767,985392
1341,Água Boa,26679,3351,128317
2546,Água Boa,13319,767,985392
2546,Água Boa,13319,3351,128317
1342,Coração de Jesus,26620,2558,200148
1343,Cajuru,26613,1196,575023
1344,Aracoiaba,26600,2515,205037
1345,Planalto,26581,1875,310810
1345,Planalto,26581,2350,225142
1345,Planalto,26581,2386,220380
1345,Planalto,26581,2631,191425
2538,Planalto,13385,1875,310810
2538,Planalto,13385,2350,225142
2538,Planalto,13385,2386,220380
2538,Planalto,13385,2631,191425
3127,Planalto,9957,1875,310810
3127,Planalto,9957,2350,225142
3127,Planalto,9957,2386,220380
3127,Planalto,9957,2631,191425
4204,Planalto,5370,1875,310810
4204,Planalto,5370,2350,225142
4204,Planalto,5370,2386,220380
4204,Planalto,5370,2631,191425
1346,Pedro Canário,26575,1993,285308
1347,Santa Isabel do Rio Negro,26566,3431,122622
1348,Sacramento,26556,550,1534687
1349,Jacutinga,26538,1109,633780
1349,Jacutinga,26538,3515,116811
4892,Jacutinga,3532,1109,633780
4892,Jacutinga,3532,3515,116811
1350,São João Nepomuceno,26530,1527,413880
1351,Guaiúba,26508,2482,209204
1352,Bom Jesus dos Perdões,26506,868,863923
1353,Chapadão do Sul,26499,561,1486307
1354,Canarana,26468,675,1161807
1354,Canarana,26468,2720,183053
1619,Canarana,22101,675,1161807
1619,Canarana,22101,2720,183053
1355,Maravilha,26463,726,1054989
1355,Maravilha,26463,4477,66185
3287,Maravilha,8850,726,1054989
3287,Maravilha,8850,4477,66185
1356,Francisco Sá,26459,1914,302661
1357,Novo Aripuanã,26443,2722,183026
1358,Tacaratu,26439,2842,170641
1359,Panelas,26438,2794,175773
1360,Guaraí,26403,1178,584923
1361,Aparecida do Taboado,26386,742,1036097
1363,Castro Alves,26369,1639,371840
1364,Jaguarão,26327,995,722427
1365,Quipapá,26309,2795,175524
1366,Astorga,26304,1000,721092
1367,Itaíba,26268,2522,204597
1368,Tanabi,26231,800,938476
1369,Conde,26223,1106,636030
1369,Conde,26223,1905,304292
1426,Conde,25341,1106,636030
1426,Conde,25341,1905,304292
1370,Venda Nova do Imigrante,26204,1188,578712
1371,Tamboril,26199,2545,201160
1372,Guaporé,26199,902,828596
1373,Independência,26196,2308,230501
1373,Independência,26196,2409,218216
3987,Independência,6054,2308,230501
3987,Independência,6054,2409,218216
1374,São Sebastião do Caí,26161,1111,631811
1375,Garrafão do Norte,26155,2236,242303
1376,Itinga do Maranhão,26134,1997,284222
1377,Turilândia,26112,2985,157035
1378,Formosa do Rio Preto,26111,483,1744435
1379,Lagoa Grande,26090,1790,327706
1379,Lagoa Grande,26090,2329,228082
3164,Lagoa Grande,9681,1790,327706
3164,Lagoa Grande,9681,2329,228082
1380,Mimoso do Sul,26079,1411,462571
1381,Bom Jesus de Goiás,26069,927,800780
1382,São João dos Patos,26063,2107,263960
1383,Solânea,26051,2103,264102
1384,Encruzilhada do Sul,26039,1244,535725
1385,Ocara,25958,2826,172254
1386,São Domingos do Araguaia,25945,2052,272420
1387,Pirajuí,25939,1436,450364
1388,Santa Quitéria do Maranhão,25884,2914,163450
1389,Carandaí,25831,1325,499029
1390,Umbaúba,25800,1808,324379
1391,Piraí do Sul,25779,921,804951
1392,Miguel Calmon,25771,2424,216112
1393,Novo Progresso,25769,1149,608443
1394,Soure,25752,2803,175010
1395,Iraquara,25728,1628,375799
1396,Angatuba,25724,781,963361
1397,Pereira Barreto,25685,908,817570
1398,São Gonçalo do Sapucaí,25670,1143,612288
1400,Monte Aprazível,25651,991,724490
1401,Miguel Pereira,25622,1080,653815
1402,Ituporanga,25619,898,831607
1403,Cedro,25612,2666,187800
1403,Cedro,25612,4004,87538
2750,Cedro,11972,2666,187800
2750,Cedro,11972,4004,87538
1404,João Dourado,25606,2487,208808
1405,Brodowski,25605,1102,639372
1406,Potim,25603,2338,226293
1407,Itapuranga,25597,1539,409950
1408,Igaci,25596,2729,182328
1409,Bom Jesus,25584,854,873676
1409,Bom Jesus,25584,1902,305269
1409,Bom Jesus,25584,3917,92017
1409,Bom Jesus,25584,4152,80670
1409,Bom Jesus,25584,5496,26206
2882,Bom Jesus,11270,854,873676
2882,Bom Jesus,11270,1902,305269
2882,Bom Jesus,11270,3917,92017
2882,Bom Jesus,11270,4152,80670
2882,Bom Jesus,11270,5496,26206
3074,Bom Jesus,10323,854,873676
3074,Bom Jesus,10323,1902,305269
3074,Bom Jesus,10323,3917,92017
3074,Bom Jesus,10323,4152,80670
3074,Bom Jesus,10323,5496,26206
5051,Bom Jesus,3104,854,873676
5051,Bom Jesus,3104,1902,305269
5051,Bom Jesus,3104,3917,92017
5051,Bom Jesus,3104,4152,80670
5051,Bom Jesus,3104,5496,26206
5254,Bom Jesus,2588,854,873676
5254,Bom Jesus,2588,1902,305269
5254,Bom Jesus,2588,3917,92017
5254,Bom Jesus,2588,4152,80670
5254,Bom Jesus,2588,5496,26206
1410,Cambará,25569,1127,619295
1411,Macaparana,25565,2233,242638
1412,Pinheiral,25563,1542,409165
1413,Pedro do Rosário,25560,3309,131434
1414,Jequitinhonha,25555,2351,225088
1415,Quissamã,25535,580,1443694
1416,Luzilândia,25521,2628,191731
1417,Ibiá,25511,817,920285
1418,Governador Nunes Freire,25502,2733,182140
1419,Santa Luzia do Paruá,25487,2534,202206
1420,Itaporã,25478,1089,648764
1421,Capivari de Baixo,25477,1480,429617
1422,Tupaciguara,25466,1033,689243
1423,Capão do Leão,25462,1237,542227
1425,Senador Pompeu,25418,1855,314991
1427,Anastácio,25336,1505,420517
1428,Piranhas,25324,1666,362713
1428,Piranhas,25324,2375,221989
3096,Piranhas,10161,1666,362713
3096,Piranhas,10161,2375,221989
1429,Ribas do Rio Pardo,25310,777,966951
1430,Espera Feliz,25287,1573,395586
1431,Agrestina,25240,2203,248265
1432,Pirenópolis,25218,1533,412453
1433,Mata Grande,25200,2655,189406
1435,Ibiapina,25165,2293,233059
1436,Piritiba,25162,3102,147169
1437,Santa Maria do Pará,25127,1878,310553
1438,Cruz,25121,2317,229840
1439,Aimorés,25116,1468,433945
1440,Cordeirópolis,25116,353,2610037
1441,Álvares Machado,25078,1300,509446
1442,Ivoti,25068,831,903806
1443,São João da Ponte,25033,2586,195996
1445,Amélia Rodrigues,24997,1982,288677
1446,Iracemápolis,24982,624,1309627
1447,Tapejara,24973,852,875684
1447,Tapejara,24973,1361,484574
2141,Tapejara,16480,852,875684
2141,Tapejara,16480,1361,484574
1448,Itaporanga,24960,1888,309107
1448,Itaporanga,24960,2041,273881
2308,Itaporanga,15197,1888,309107
2308,Itaporanga,15197,2041,273881
1449,Jucás,24949,2671,187361
1450,Guabiruba,24922,832,902535
1451,Cândido Sales,24921,2689,185498
1452,Brotas,24862,924,804016
1453,Paraopeba,24854,1204,565326
1454,Bela Vista,24842,1290,515638
1455,Igaraçu do Tietê,24821,1933,299508
1456,Canhotinho,24743,2616,192969
1457,Junqueiro,24716,1696,354809
1458,Forquilha,24680,2488,208779
1459,Igreja Nova,24670,1585,390389
1460,Matriz de Camaragibe,24627,1940,298282
1461,São Jerônimo,24569,1172,590487
1462,Aurora,24567,2598,194759
1462,Aurora,24567,2878,166782
4098,Aurora,5687,2598,194759
4098,Aurora,5687,2878,166782
1463,São Geraldo do Araguaia,24566,1454,441431
1464,Piracanjuba,24543,943,776237
1465,São Lourenço do Oeste,24501,892,839374
1466,São José da Lapa,24490,1345,490793
1467,Irauçuba,24450,2863,168314
1468,Santo Antônio,24422,2423,216165
1469,Craíbas,24396,2579,197086
1470,Salvaterra,24392,2896,165754
1471,Balneário Piçarras,24385,893,839048
1473,Cachoeira do Arari,24355,2823,172478
1474,Pedra Azul,24333,2048,272990
1475,Pão de Açúcar,24307,2673,186936
1476,Porto Franco,24294,1389,471752
1477,Colorado,24271,1122,623367
1477,Colorado,24271,2825,172327
5058,Colorado,3088,1122,623367
5058,Colorado,3088,2825,172327
1478,Rio Tinto,24258,2265,238563
1479,Quatro Barras,24253,579,1444058
1480,Monte Sião,24247,1531,413046
1481,Cupira,24237,2092,265443
1482,Carambeí,24225,630,1284427
1483,Laje,24214,2425,216096
1484,Tupanciretã,24182,718,1073417
1485,Chaves,24175,2739,181401
1486,Joaquim Gomes,24167,1854,315561
1487,Carolina,24151,1889,309096
1488,Urucurituba,24098,3149,142872
1489,Carutapera,24095,2997,155804
1490,Apiaí,24081,1085,651733
1491,Garopaba,24070,1254,534079
1492,São José da Laje,24064,1919,301828
1493,Ladário,24040,1960,294751
1494,Inajá,24034,3002,155277
1494,Inajá,24034,4697,57124
5044,Inajá,3122,3002,155277
5044,Inajá,3122,4697,57124
1495,Inhapim,24020,1973,290523
1496,Poço Verde,24003,2001,283145
1497,Buriti Bravo,23993,3018,154317
1498,Uauá,23991,2756,179976
1499,Orobó,23985,1764,333817
1500,Bambuí,23964,1267,527978
1501,Iaçu,23950,2554,200542
1502,Santa Terezinha de Itaipu,23927,1359,485178
1503,Santo Amaro da Imperatriz,23907,967,753610
1504,Caraí,23872,3039,152305
1505,Santa Teresa,23853,1401,464972
1506,Tamandaré,23852,1992,285465
1507,Itapaci,23850,1774,331231
1508,Três de Maio,23846,793,946236
1509,Três Passos,23799,938,779906
1510,São João do Paraíso,23797,2557,200157
1510,São João do Paraíso,23797,3509,117176
2894,São João do Paraíso,11207,2557,200157
2894,São João do Paraíso,11207,3509,117176
1511,São Miguel,23789,2406,218339
1512,Princesa Isabel,23749,2453,212921
1513,Santo Antônio de Posse,23742,737,1043905
1514,Imbé,23721,1365,481496
1515,Rio Formoso,23719,2131,259945
1516,João Lisboa,23677,2635,190960
1517,Raul Soares,23663,1967,292461
1518,Bataguassu,23620,933,791859
1519,Corinto,23607,1849,316786
1520,Matinha,23591,2999,155610
1521,Conceição de Macabu,23561,1819,321603
1522,Belmonte,23540,2091,265473
1522,Belmonte,23540,4797,53294
5207,Belmonte,2712,2091,265473
5207,Belmonte,2712,4797,53294
1523,Assaré,23537,2397,219075
1524,Peritoró,23530,2716,183227
1525,São Sepé,23492,905,823029
1526,Senador Guiomard,23446,1674,359758
1527,São João de Pirabas,23440,2963,158966
1528,Ibirapitanga,23433,2865,168241
1529,Pancas,23426,2268,236942
1530,Caculé,23407,2232,242684
1531,Teodoro Sampaio,23395,1368,479182
1531,Teodoro Sampaio,23395,3386,125271
3649,Teodoro Sampaio,7296,1368,479182
3649,Teodoro Sampaio,7296,3386,125271
1532,Dom Pedro,23393,2356,224413
1533,Loanda,23393,1250,534706
1534,Mandaguaçu,23373,1231,547401
1535,Araçariguama,23343,324,2844224
1536,Coreaú,23340,3066,150364
1537,Taquarituba,23292,1086,650632
1538,Ivinhema,23277,708,1091248
1539,Sobradinho,23274,1343,491099
1539,Sobradinho,23274,1643,370494
2321,Sobradinho,15041,1343,491099
2321,Sobradinho,15041,1643,370494
1540,Abaeté,23263,1492,426042
1541,Tambaú,23255,1252,534539
1542,Paranatinga,23250,953,769746
1543,Capinzal,23218,895,838077
1544,Itaocara,23211,1313,503137
1545,Itambacuri,23207,2136,259465
1546,Orleans,23161,774,972451
1547,São Miguel do Guaporé,23147,1087,649904
1548,Aripuanã,23067,1009,709381
1549,Encantado,23047,903,827011
1550,Caridade,23011,3365,126870
1551,São João,23002,1045,678023
1551,São João,23002,2532,202414
3105,São João,10122,1045,678023
3105,São João,10122,2532,202414
1552,Altinho,22996,3024,153959
1553,Conselheiro Pena,22975,1924,300321
1554,Nova Alvorada do Sul,22967,584,1434123
1555,Conceição da Feira,22933,2227,243239
1556,Porto Grande,22927,1772,331983
1557,Amaraji,22910,2476,209661
1558,Carmo do Cajuru,22900,1513,418349
1559,Manhumirim,22894,1440,448031
1560,Barro,22834,2761,179624
1562,Tocantinópolis,22820,1964,293807
1563,Herval d'Oeste,22820,1477,430280
1564,Ecoporanga,22748,1909,303569
1565,Medeiros Neto,22741,1792,327334
1566,Apuí,22739,2611,193460
1567,Terenos,22721,1398,465997
1568,Pedra,22716,2223,243895
1569,Barreira,22715,2903,164944
1570,Acreúna,22710,1053,672309
1571,Dianópolis,22704,1936,299061
1573,Rafael Jambeiro,22643,2221,244515
1574,Caracaraí,22635,1705,350653
1575,Flores,22612,2714,183282
1576,Schroeder,22605,1370,478757
1577,Teofilândia,22590,3069,150087
1578,Hidrolândia,22533,692,1120650
1578,Hidrolândia,22533,3147,143177
1788,Hidrolândia,20126,692,1120650
1788,Hidrolândia,20126,3147,143177
1579,Quaraí,22531,1445,445210
1580,Chapada dos Guimarães,22521,1024,693518
1582,Alcobaça,22509,2102,264121
1583,Areia,22493,2294,232697
1584,Miguelópolis,22480,691,1121079
1586,Mazagão,22468,2219,244713
1587,Porto Belo,22466,795,944823
1588,São Vicente Ferrer,22452,3294,132451
1589,Itaparica,22440,2354,224654
1590,Quixeré,22432,1607,382737
1591,Ceres,22407,1261,531303
1593,Carira,22393,2104,264080
1594,Coração de Maria,22391,2777,177872
1595,Piúma,22388,1382,475517
1596,Fundão,22379,1511,419014
1597,Feira Nova,22360,2637,190770
1597,Feira Nova,22360,4458,67049
4118,Feira Nova,5617,2637,190770
4118,Feira Nova,5617,4458,67049
1598,Mutuípe,22340,2548,201065
1599,Riachão das Neves,22330,1064,663995
1601,Palmital,22322,1031,690855
1601,Palmital,22322,2220,244537
2625,Palmital,12755,1031,690855
2625,Palmital,12755,2220,244537
1602,Diamantino,22311,443,1957070
1603,Altônia,22293,1676,359393
1604,Alto Paraíso,22258,1831,319784
1604,Alto Paraíso,22258,4035,85801
5234,Alto Paraíso,2630,1831,319784
5234,Alto Paraíso,2630,4035,85801
1605,Santa Maria das Barreiras,22244,1629,375718
1606,Pradópolis,22239,888,840208
1607,Cantanhede,22236,3458,120428
1608,Trizidela do Vale,22223,2615,193029
1609,Uruburetama,22223,1429,453807
1611,Feira Grande,22192,1994,285062
1612,Caravelas,22166,1816,322126
1613,Cordeiro,22152,1405,463500
1614,Nova Hartz,22147,1139,613593
1615,Alcântara,22126,3517,116770
1616,Goiás,22122,1427,454076
1617,Anicuns,22113,1599,385455
1618,Manari,22110,3483,118791
1620,Guapiaçu,22087,1263,528980
1621,Caaporã,22079,1817,322068
1622,Cassilândia,22063,1223,553216
1623,Centro Novo do Maranhão,22056,3171,141156
1624,São José do Vale do Rio Preto,22032,1461,437705
1625,Lucélia,22022,1483,428339
1626,Itatira,22018,3324,130464
1627,Anori,21937,2618,192852
1628,Colônia Leopoldina,21935,2180,251911
1629,Chã Grande,21929,2492,207892
1630,Mari,21895,2633,191168
1631,Itaiópolis,21889,1017,704218
1632,Nova Granada,21871,1417,459182
1633,São Francisco de Paula,21871,1158,602431
1633,São Francisco de Paula,21871,3835,96294
3858,São Francisco de Paula,6512,1158,602431
3858,São Francisco de Paula,6512,3835,96294
1634,São José da Coroa Grande,21868,2183,251104
1635,São Miguel do Araguaia,21849,1362,482682
1636,Palmas de Monte Alto,21840,2931,161389
1637,Camanducaia,21831,1154,605887
1638,Santa Bárbara do Pará,21811,2894,165802
1639,Oliveira dos Brejinhos,21797,2870,167335
1640,Aquidabã,21796,2422,216446
1641,Ortigueira,21783,476,1782461
1642,Vargem Alta,21778,1631,375557
1643,Paramirim,21777,2544,201171
1644,Silva Jardim,21775,1438,448698
1645,Maracaçumé,21773,2942,160611
1646,Itapoá,21766,1005,714536
1647,Itapecerica,21760,1406,463498
1648,São Marcos,21756,1013,706530
1649,Madre de Deus,21754,1449,444180
1650,Uruçuí,21746,641,1261292
1651,Nova Petrópolis,21717,959,762696
1652,Engenheiro Coelho,21712,1163,596633
1653,Nhamundá,21710,3158,142087
1654,Araripe,21707,2926,161906
1655,Nova Xavantina,21695,1182,582170
1656,Paraguaçu,21693,1377,476274
1657,Olho d'Água das Flores,21690,2632,191207
1658,Parelhas,21611,1815,322277
1659,Itaquiraí,21604,1137,614652
1660,Rolante,21591,1203,566895
1661,Perdões,21577,1373,478385
1662,Paraibano,21571,3207,138698
1663,Caxambu,21566,1786,329263
1664,Castilho,21521,759,1001129
1665,Nova Esperança do Piriá,21519,2429,215606
1666,Monte Santo de Minas,21504,1684,357502
